filename,width,height,class,xmin,ymin,xmax,ymax
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,11,36,71
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,61,13,128,75
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,151,8,215,81
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,239,26,297,93
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,332,42,397,101
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,422,56,476,114
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,426,0,480,33
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,507,0,559,47
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,512,72,559,134
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,591,89,640,147
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,591,170,640,230
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,518,158,558,223
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,421,142,479,203
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,327,133,395,188
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,233,115,298,191
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,147,98,199,164
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,58,99,106,162
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,103,38,151
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,171,29,233
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,52,181,110,263
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,265,23,336
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,48,282,111,345
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,138,290,197,350
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,144,197,197,268
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,228,204,297,278
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,324,216,397,287
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,421,238,478,299
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,512,250,572,322
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,593,257,640,336
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,593,351,640,436
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,511,344,571,417
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,418,325,483,411
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,328,314,388,393
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,222,312,299,379
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,226,401,297,477
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,138,389,200,456
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,60,379,103,440
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,355,25,436
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,457,25,518
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,535,26,599
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,0,615,20,639
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,50,557,108,622
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,55,472,103,529
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,141,475,200,540
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,230,500,285,558
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,229,587,291,640
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,319,605,374,640
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,415,529,467,588
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,421,430,473,500
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,511,449,559,507
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,507,541,555,595
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,586,548,640,600
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,586,629,627,640
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,600,459,640,507
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,138,572,202,640
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,329,517,379,586
DJI_0650_JPG.rf.ee80ab6d12de1e70e9c7c8e715a4ea40.jpg,640,640,arbre,412,608,460,640
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,54,21,99,74
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,128,36,177,78
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,211,38,269,89
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,405,54,447,116
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,395,0,449,31
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,474,0,531,59
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,565,88,614,155
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,568,264,622,334
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,482,253,541,328
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,390,229,451,310
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,291,232,367,298
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,207,215,267,278
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,25,190,85,262
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,28,286,84,360
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,112,296,164,365
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,199,302,264,384
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,297,321,360,390
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,383,334,451,412
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,476,345,543,419
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,569,362,618,430
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,566,448,620,523
DJI_1590_JPG.rf.ee79ab98822eaad2b1d0de00ca586965.jpg,640,640,arbre,477,448,544,519
